,Name,Base_Salary,HRA,Bonus,Deductions,Gross_Salary,Net_Salary
0,Employee_0,677378,27137,2923,8763,707438,679659.95
1,Employee_1,1564514,12193,1142,8739,1577849,1409413.2
2,Employee_2,994895,20104,3856,4181,1018855,964798.9
3,Employee_3,2040260,12632,6977,8103,2059869,1747594.9
4,Employee_4,1353509,27181,2182,3502,1382872,1268231.8
5,Employee_5,640376,14734,3617,4919,658727,636608.35
6,Employee_6,1851707,19148,8431,1713,1879286,1629531.6
7,Employee_7,1818489,14575,7160,2753,1840224,1599776.3
8,Employee_8,1162371,27777,4387,1220,1194535,1118301.3
9,Employee_9,985536,24065,5971,3463,1015572,962958.3
10,Employee_10,2086244,15937,82,1529,2102263,1784836.2
11,Employee_11,2814130,20433,9867,7388,2844430,2299842.9
12,Employee_12,2554431,21574,186,6473,2576191,2113332.9
13,Employee_13,2204928,18680,9263,2567,2232871,1876046.7
14,Employee_14,564017,29783,5822,2090,599622,584040.05
15,Employee_15,951801,17749,8410,3870,977960,928068.9
16,Employee_16,674572,15095,457,6123,690124,665249.55
17,Employee_17,837509,28070,9284,5186,874863,834997.7
18,Employee_18,1762994,27036,8785,4799,1798815,1572482.3
19,Employee_19,2023810,29385,814,2276,2054009,1754345.8
20,Employee_20,1885379,23543,9555,7503,1918477,1652493.8
21,Employee_21,2279537,10863,9381,3944,2299781,1919161.6
22,Employee_22,1640541,22210,7688,4666,1670439,1481304.3
23,Employee_23,2077592,23606,2635,1075,2103833,1788689.9
24,Employee_24,2895719,20811,702,2562,2917232,2355743.7
25,Employee_25,1443562,15606,2478,7919,1461646,1324519.0
26,Employee_26,228346,24820,6271,6236,259437,253201.0
27,Employee_27,1511146,26603,5824,6941,1543573,1391541.0
28,Employee_28,2264159,15672,6449,8901,2286280,1906196.6
29,Employee_29,936101,24923,6427,3269,967451,919929.2
30,Employee_30,1751809,14908,1870,8185,1768587,1544298.3
31,Employee_31,1612611,28279,4537,2737,1645427,1467545.6
32,Employee_32,219028,29539,9004,4666,257571,252905.0
33,Employee_33,2247652,21154,4544,8819,2273350,1898872.2
34,Employee_34,1037948,16389,847,4965,1055184,994399.75
35,Employee_35,2886879,22177,2759,3910,2911815,2351013.6
36,Employee_36,860124,10471,909,8439,871504,826961.7
37,Employee_37,682311,11610,8878,2064,702799,681175.55
38,Employee_38,1923893,20438,734,2559,1945065,1675117.9
39,Employee_39,1136839,17859,5465,5890,1160163,1082927.4
40,Employee_40,2915129,19071,9560,6770,2943760,2369583.3
41,Employee_41,175952,25767,6720,5563,208439,202876.0
42,Employee_42,655395,17991,4197,2206,677583,657397.4
43,Employee_43,1420472,18157,8360,2102,1446989,1319120.6
44,Employee_44,211486,10872,5869,3374,228227,224853.0
45,Employee_45,2902145,13307,5669,6982,2921121,2351794.8
46,Employee_46,834841,22463,4541,6757,861845,821149.8
47,Employee_47,205436,27258,2699,8371,235393,227022.0
48,Employee_48,481140,11525,3117,3696,495782,482873.15
49,Employee_49,2125575,12334,3090,6929,2140999,1805470.5
50,Employee_50,1450617,13791,5752,5709,1470160,1333177.2
51,Employee_51,724999,26858,3608,8788,755465,723816.3
52,Employee_52,1667804,29792,3530,9550,1701126,1500175.8
53,Employee_53,2025011,26562,7460,8118,2059033,1751173.7
54,Employee_54,1478175,11913,3362,5299,1493450,1351843.6
55,Employee_55,420170,24339,9042,4443,453551,442647.4
56,Employee_56,2113665,22186,9037,8687,2144888,1809390.4
57,Employee_57,2019789,24798,5978,1477,2050565,1751357.9
58,Employee_58,1531585,29825,3885,9533,1565295,1405121.0
59,Employee_59,2920008,16231,5815,8062,2942054,2366245.1
60,Employee_60,1403143,16780,8986,6047,1428909,1300436.2
61,Employee_61,1978349,29321,8857,5754,2016527,1724611.2
62,Employee_62,2535241,18879,9181,7139,2563301,2102835.4
63,Employee_63,1697556,11518,4777,2446,1713851,1510705.1
64,Employee_64,2803495,15658,4529,4029,2823682,2287245.8
65,Employee_65,2645316,19326,8506,8689,2673148,2178312.4
66,Employee_66,457914,14995,5806,8701,478715,461828.0
67,Employee_67,2026524,21227,2175,2950,2049926,1748366.3
68,Employee_68,2504944,18911,603,6605,2524458,2076188.9
